material,label,trial,timestamp,reading
plastic,0,6,1743370109.7977118,"[1.470001220703125, -5.460000610351564, -0.2903564453124545, 3.69000244140625, -0.11997070312497726, 6.824438476562591, 4.91998291015625, 0.8700134277343636, 1.2583496093750455, 6.150000000000006, -2.640002441406253, -4.1624023437500455, -1.0799999237060547, -1.1399993896484375, -0.14516601562490905]"
plastic,0,6,1743370109.903022,"[-1.3800048828125, 2.3400005340576158, -3.4363525390624545, -1.8599853515625, -2.0699829101562273, -4.791650390624909, -5.58001708984375, 0.7199890136718636, -3.0976074218749545, 1.0500091552734432, -0.39000244140625284, 3.8236816406249545, 1.3199996948242188, 3.2100067138671875, 3.968847656250091]"
plastic,0,6,1743370110.0070982,"[-4.529998779296875, -3.210000610351564, -3.1944091796874545, 3.3900146484375, -0.26999511718747726, 13.116430664062591, -3.6300048828125, 2.2199890136718636, -0.19355468749995453, 7.050009155273443, -0.6899978637695341, 3.3396728515624545, 0.4200000762939453, -0.2400054931640625, 3.484838867187591]"
plastic,0,6,1743370110.1104572,"[-2.8800048828125, -0.060000991821290484, 4.5496093750000455, 4.739990234375, -2.2200073242187273, 0.29038085937509095, 5.52001953125, -2.1299865722656364, 1.7423583984375455, -0.7499938964843693, 2.460003662109372, -6.0983154296875455, 5.220000267028809, -2.0399932861328125, -3.049218749999909]"
plastic,0,6,1743370110.214911,"[-4.8300018310546875, -0.060000991821290484, 15.197558593750045, 0.3900146484375, 0.029992675781272737, 9.002416992187591, -0.780029296875, 4.170001220703114, 4.1624023437500455, -1.3499999999999943, 6.810002136230466, 4.5496337890624545, 1.6200008392333984, 0.05999755859375, -2.565209960937409]"
plastic,0,6,1743370110.317406,"[3.2700042724609375, 1.5900005340576158, -2.7104003906249545, -0.21002197265625, 4.230004882812523, -2.129663085937409, -4.67999267578125, 3.2700073242187386, 0.7744628906250455, 5.400000000000006, -0.39000244140625284, 4.3076904296874545, -0.030000686645507812, -3.3899993896484375, -4.017114257812409]"
plastic,0,6,1743370110.4193769,"[-0.9300079345703125, 1.7400001525878892, -13.842358398437455, -0.510009765625, 3.7799926757812727, -9.389672851562409, 1.469970703125, -0.9300048828125114, -2.1295898437499545, -1.6500030517578068, 2.609997558593747, 1.1615722656249545, 2.820000648498535, 2.30999755859375, 5.904882812500091]"
plastic,0,6,1743370110.524662,"[4.1699981689453125, 3.539999389648436, 1.4036132812500455, 3.09002685546875, -2.6700195312499773, -5.275659179687409, 3.1199951171875, -1.3799865722656364, -3.0976074218749545, 0.3000091552734432, -0.9900009155273466, 2.3716552734374545, 5.970000267028809, 4.8600006103515625, -6.921166992187409]"
plastic,0,6,1743370110.627051,"[5.8199920654296875, -3.3600002288818374, 2.8556396484375455, 2.34002685546875, -3.1199707031249773, 1.258398437500091, 0.57000732421875, 3.4200012207031136, 7.7924072265625455, 2.550009155273443, -0.6899978637695341, -6.8243896484375455, 0.4200000762939453, -0.5399932861328125, 1.306860351562591]"
plastic,0,6,1743370110.730567,"[-1.0800018310546875, -0.060000991821290484, -5.3723876953124545, 3.69000244140625, -3.7200073242187273, 5.130346679687591, 3.41998291015625, 4.620013427734364, 3.9204589843750455, 1.3499969482421932, 1.2599990844726534, 0.6776855468749545, -2.5799999237060547, -1.2899932861328125, -9.099145507812409]"
